stock_name,stock_code,price,revunue,profit margin,market cap,price/book,Enterprise Value/EBITDA,Environmental Risk Score,Social Risk Score,Governance Risk Score
"Delta Air Lines, Inc.",DAL,46.02,59.04B,8.48%,29.70B,2.66,7.31,9.9,14.6,5.8
"CoStar Group, Inc.",CSGP,73.15,2.53B,11.65%,29.88B,4.07,93.87,4.9,9.3,7.7
Archer-Daniels-Midland Company,ADM,61.36,91.71B,3.32%,30.34B,1.31,7.38,16.6,10.1,5.0
"The Hartford Financial Services Group, Inc.",HIG,98.71,25.06B,10.86%,29.19B,1.93,--,1.8,7.2,7.6
Halliburton Company,HAL,33.1,23.15B,11.20%,29.30B,3.04,7.37,9.8,8.9,6.9
ON Semiconductor Corporation,ON,73.38,8.16B,26.67%,31.57B,3.89,10.06,11.8,5.7,4.9
Corning Incorporated,GLW,38.44,12.39B,4.96%,32.93B,2.93,15.42,5.5,4.8,6.1
Mettler-Toledo International Inc.,MTD,1346.08,3.79B,20.55%,28.75B,--,26.34,1.0,7.4,4.7
CDW Corporation,CDW,216.3,21.15B,5.16%,29.07B,13.59,17.76,2.5,3.2,3.5
Targa Resources Corp.,TRGP,132.49,16.1B,6.98%,29.38B,10.86,11.22,14.2,14.8,4.2
"Charter Communications, Inc.",CHTR,301.79,54.63B,8.50%,43.47B,3.66,6.72,6.1,10.7,7.9
"PPG Industries, Inc.",PPG,125.23,18.18B,7.73%,29.37B,3.70,12.83,11.0,7.7,6.5
Equifax Inc.,EFX,242.24,5.35B,10.42%,29.94B,6.56,21.97,0.1,16.3,6.8
Tractor Supply Company,TSCO,262.53,14.65B,7.66%,28.30B,13.33,17.45,3.4,8.2,4.5
VICI Properties Inc.,VICI,27.75,3.69B,70.13%,28.95B,1.14,13.37,,,
Xcel Energy Inc.,XEL,52.69,13.77B,13.37%,29.28B,1.64,10.73,12.7,9.3,4.5
"AvalonBay Communities, Inc.",AVB,203.27,2.83B,33.81%,28.90B,2.47,18.46,3.0,2.0,4.8
Dollar General Corporation,DG,128.2,39.26B,3.85%,28.19B,4.03,14.56,3.5,8.6,5.5
Vistra Corp.,VST,89.36,13.41B,5.66%,31.05B,9.76,12.78,,,
,,,,,,,,3.5,7.3,5.1
Westinghouse Air Brake Technologies Corporation,WAB,156.5,9.98B,9.20%,27.60B,2.64,16.16,5.4,12.0,6.0
ResMed Inc.,RMD,194.74,4.58B,20.91%,28.61B,6.18,19.62,3.5,12.4,10.4
The Hershey Company,HSY,184.15,11.43B,18.13%,37.24B,9.06,14.18,10.5,10.4,5.1
,,,,,,,,11.0,11.4,5.1
Hewlett Packard Enterprise Company,HPE,20.55,28.31B,6.38%,26.71B,1.23,7.33,0.9,4.1,5.6
"NetApp, Inc.",NTAP,129.09,6.27B,15.73%,26.57B,23.18,16.41,2.2,7.7,5.5
Willis Towers Watson Public Limited Company,WTW,261.61,9.58B,10.88%,26.75B,2.82,15.73,0.1,7.8,10.8
eBay Inc.,EBAY,52.87,10.16B,25.97%,26.54B,4.23,6.42,2.7,7.7,7.2
Iron Mountain Incorporated,IRM,91.6,5.64B,3.43%,26.85B,1.45k,24.85,5.0,3.7,5.8
"Church & Dwight Co., Inc.",CHD,106.59,5.94B,13.13%,26.06B,6.36,21.19,6.9,6.3,6.7
"CBRE Group, Inc.",CBRE,87.21,32.47B,3.06%,26.76B,3.24,17.15,1.5,1.9,4.6
"T. Rowe Price Group, Inc.",TROW,114.79,6.67B,29.09%,25.63B,2.62,8.78,,,
Fortive Corporation,FTV,72.41,6.13B,14.68%,25.49B,2.43,17.57,16.1,14.0,4.7
The Kraft Heinz Company,KHC,32.09,26.56B,10.62%,38.97B,0.79,10.54,13.5,14.1,6.2
M&T Bank Corporation,MTB,146.49,8.77B,29.29%,24.44B,0.97,--,2.6,10.3,13.6
"American Water Works Company, Inc.",AWK,130.01,4.31B,22.27%,25.33B,2.53,15.73,9.0,7.6,5.0
Dover Corporation,DOV,176.68,8.45B,17.28%,24.28B,4.71,12.18,8.0,12.5,5.4
Fifth Third Bancorp,FITB,36.01,8.14B,28.37%,24.51B,1.45,--,1.2,8.1,7.5
Garmin Ltd.,GRMN,161.93,5.46B,24.96%,31.10B,4.29,21.14,4.8,11.6,4.3
"WEC Energy Group, Inc.",WEC,77.85,8.69B,16.66%,24.59B,2.03,11.66,13.4,9.0,5.1
The Estée Lauder Companies Inc.,EL,106.35,15.35B,4.18%,38.13B,6.64,20.13,6.9,11.1,7.5
Western Digital Corporation,WDC,77.17,11.91B,-13.16%,25.20B,2.49,--,1.5,3.9,6.1
"Take-Two Interactive Software, Inc.",TTWO,151.74,5.35B,-69.99%,26.56B,4.69,--,,,
Global Payments Inc.,GPN,96.22,9.78B,13.40%,24.56B,1.11,9.96,3.7,10.7,6.5
,,,,,,,,,,
LyondellBasell Industries N.V.,LYB,93.58,40.78B,5.18%,30.47B,2.35,8.91,13.5,2.1,5.1
"West Pharmaceutical Services, Inc.",WST,322.56,2.93B,19.42%,23.50B,8.77,28.39,,,
"Cardinal Health, Inc.",CAH,95.89,220.57B,0.25%,23.36B,--,15.03,1.2,7.3,6.4
"First Solar, Inc.",FSLR,222.12,3.56B,28.75%,23.78B,3.44,15.36,,,
"NVR, Inc.",NVR,7421.51,9.85B,16.67%,23.25B,5.35,10.64,7.2,7.8,5.2
International Flavors & Fragrances Inc.,IFF,95.29,11.35B,-22.01%,24.33B,1.70,--,10.5,5.6,6.6
"Keysight Technologies, Inc.",KEYS,137.35,5.17B,15.71%,23.97B,4.89,17.52,1.2,1.8,4.7
Equity Residential,EQR,67.87,2.9B,31.70%,25.72B,2.33,15.51,3.0,2.9,6.1
"Raymond James Financial, Inc.",RJF,119.51,11.96B,14.85%,24.77B,2.27,--,,,
"Broadridge Financial Solutions, Inc.",BR,202.12,6.4B,10.92%,23.89B,10.53,18.26,4.2,7.5,4.9
"Nasdaq, Inc.",NDAQ,60.38,6.21B,15.97%,34.81B,3.22,21.61,0.0,5.6,7.4
"Teradyne, Inc.",TER,151.2,2.66B,16.15%,23.60B,9.23,37.22,7.1,4.9,5.0
"PulteGroup, Inc.",PHM,103.95,16.44B,16.63%,21.87B,2.03,5.97,9.2,7.3,4.9
DTE Energy Company,DTE,109.77,12.21B,10.36%,22.72B,2.03,11.46,15.0,10.0,4.7
Entergy Corporation,ETR,105.37,11.96B,17.73%,22.50B,1.56,10.22,14.0,7.3,5.3
"Dollar Tree, Inc.",DLTR,106.68,30.91B,-3.23%,22.93B,3.14,--,3.3,12.8,4.0
State Street Corporation,STT,73.72,11.95B,15.54%,22.21B,1.01,--,1.6,12.9,9.5
"Zimmer Biomet Holdings, Inc.",ZBH,108.01,7.45B,12.93%,22.22B,1.76,12.88,3.6,14.5,7.9
STERIS plc,STE,220.05,5.14B,7.36%,21.75B,3.45,17.65,,,
PTC Inc.,PTC,186.46,2.24B,12.84%,22.33B,7.59,35.90,4.9,8.6,5.4
"Brown & Brown, Inc.",BRO,90.52,4.34B,21.39%,25.82B,4.47,18.04,0.1,9.8,10.6
Veralto Corporation,VLTO,95.6,5.04B,15.83%,23.60B,15.92,21.19,,,
"Tyler Technologies, Inc.",TYL,513.42,1.99B,9.50%,21.80B,7.21,53.48,,,
Invitation Homes Inc.,INVH,36.04,2.47B,21.93%,22.08B,2.18,18.99,,,
SBA Communications Corporation,SBAC,190.83,2.69B,20.61%,20.50B,--,21.52,3.1,3.2,5.2
"Ventas, Inc.",VTR,52.45,4.61B,-1.58%,21.23B,2.26,17.52,3.4,3.9,5.6
"Axon Enterprise, Inc.",AXON,298.38,1.68B,15.60%,22.52B,12.39,68.54,,,
Weyerhaeuser Company,WY,27.45,7.59B,10.57%,20.01B,1.99,14.44,9.1,4.2,3.5
PPL Corporation,PPL,27.41,8.2B,9.29%,20.22B,1.44,12.10,17.1,8.9,5.3
Coterra Energy Inc.,CTRA,26.23,5.48B,23.70%,19.52B,1.49,6.01,20.3,8.3,7.5
GoDaddy Inc.,GDDY,143.98,4.33B,39.96%,20.29B,48.92,28.24,,,
"Leidos Holdings, Inc.",LDOS,145.51,15.71B,2.04%,19.67B,4.62,22.24,,,
FirstEnergy Corp.,FE,38.58,12.74B,8.34%,22.20B,1.79,12.08,10.8,9.0,5.8
Seagate Technology Holdings plc,STX,102.04,6.27B,-4.31%,21.43B,--,57.06,1.6,3.8,5.3
Eversource Energy,ES,57.27,11.45B,-3.60%,20.17B,1.39,30.22,4.7,8.6,5.4
Synchrony Financial,SYF,46.92,8.67B,33.81%,18.84B,1.34,--,0.1,9.9,7.3
"CenterPoint Energy, Inc.",CNP,30.49,8.54B,11.03%,19.51B,1.95,11.48,12.9,10.7,5.1
Hubbell Incorporated,HUBB,372.75,5.49B,13.23%,20.01B,6.83,18.67,5.6,9.1,4.9
"Steel Dynamics, Inc.",STLD,124.42,18.6B,12.89%,19.55B,2.15,5.73,10.6,14.4,8.1
Huntington Bancshares Incorporated,HBAN,12.84,6.75B,26.17%,18.61B,1.10,--,2.0,11.2,8.7
"Ulta Beauty, Inc.",ULTA,390,11.3B,11.13%,18.61B,8.09,10.52,4.1,7.3,4.3
Genuine Parts Company,GPC,132.45,23.11B,5.46%,18.45B,4.19,10.73,4.7,5.2,3.8
Cincinnati Financial Corporation,CINF,115.7,10.71B,22.16%,18.11B,1.43,--,1.8,11.0,12.9
"Corpay, Inc.",CPAY,270.48,3.79B,26.29%,19.01B,5.84,12.05,,,
Ball Corporation,BALL,59.64,13.92B,30.28%,18.51B,2.53,11.91,7.6,0.8,3.7
Aptiv PLC,APTV,70.18,20.13B,14.87%,19.09B,1.72,9.46,1.5,3.9,5.3
Regions Financial Corporation,RF,19.51,6.8B,26.91%,17.87B,1.16,--,1.8,6.7,8.4
Ameren Corporation,AEE,70.45,7.02B,16.37%,18.79B,1.64,10.36,12.9,9.1,5.3
"Cboe Global Markets, Inc.",CBOE,169.67,3.74B,21.31%,17.84B,4.43,14.46,2.7,7.6,10.6
"Alexandria Real Estate Equities, Inc.",ARE,116.8,2.95B,6.64%,20.43B,1.11,20.25,3.9,3.7,6.3
Teledyne Technologies Incorporated,TDY,381.47,5.6B,15.81%,18.09B,1.94,15.25,,,
"Darden Restaurants, Inc.",DRI,145.22,11.39B,9.02%,17.33B,7.73,12.48,7.9,15.0,4.6
Carnival Corporation & plc,CCL,17.21,23.44B,3.85%,25.78B,3.31,10.44,9.4,10.1,5.0
"Domino's Pizza, Inc.",DPZ,493.73,4.54B,11.90%,17.22B,--,23.47,10.6,12.2,6.3
"McCormick & Company, Incorporated",MKC,70.88,6.68B,11.07%,19.02B,3.57,18.52,9.6,11.1,5.3
"Essex Property Trust, Inc.",ESS,272.24,1.7B,30.96%,17.48B,3.15,17.76,3.5,2.8,6.1
Jacobs Solutions Inc.,J,136.74,16.9B,3.83%,17.12B,2.58,14.58,5.3,11.5,5.6
"Hologic, Inc.",HOLX,74.1,3.96B,11.78%,17.29B,3.57,17.80,4.6,12.1,8.4
Northern Trust Corporation,NTRS,83.13,6.67B,14.79%,17.01B,1.52,--,1.9,11.8,10.2
Omnicom Group Inc.,OMC,88.9,14.88B,9.96%,17.41B,4.88,8.37,0.1,9.3,6.9
Atmos Energy Corporation,ATO,114.62,4.06B,24.65%,17.29B,1.49,12.41,14.8,13.4,6.4
Labcorp Holdings Inc.,LH,204.58,12.3B,3.52%,17.24B,2.17,16.76,0.4,12.7,6.6
Avery Dennison Corporation,AVY,216.04,8.45B,6.56%,17.40B,7.90,17.26,11.4,0.9,3.7
CMS Energy Corporation,CMS,58.93,7.35B,13.19%,17.60B,2.28,11.24,9.6,6.8,5.2
"The Cooper Companies, Inc.",COO,85.9,3.73B,9.11%,17.10B,2.19,20.33,2.7,8.8,6.0
"Principal Financial Group, Inc.",PFG,78.37,14.9B,8.70%,18.37B,1.64,--,0.8,5.8,7.6
"Expeditors International of Washington, Inc.",EXPD,123.45,8.91B,7.81%,17.44B,7.94,16.21,4.2,7.6,4.8
"Align Technology, Inc.",ALGN,243.6,3.92B,11.80%,18.34B,4.88,21.51,,,
"Molina Healthcare, Inc.",MOH,293.19,34.66B,3.09%,17.18B,3.82,6.19,,,
"Skyworks Solutions, Inc.",SWKS,105.56,4.54B,18.85%,16.94B,2.66,11.48,11.8,8.9,7.2
Baxter International Inc.,BAX,34.91,14.89B,17.79%,17.79B,2.18,16.33,2.8,13.6,7.1
Southwest Airlines Co.,LUV,26.94,26.71B,1.47%,16.12B,1.58,6.32,11.0,13.7,5.9
Waters Corporation,WAT,286.21,2.91B,20.75%,16.98B,13.51,19.18,1.4,8.2,5.1
,,,,,,,,10.9,16.1,6.6
"Citizens Financial Group, Inc.",CFG,35.24,7.37B,19.43%,16.03B,0.74,--,2.0,10.1,11.4
The Clorox Company,CLX,133.22,7.21B,3.33%,16.54B,181.81,28.12,7.7,8.6,5.3
"Builders FirstSource, Inc.",BLDR,132.6,17.11B,8.57%,16.18B,3.27,7.46,,,
"Tyson Foods, Inc.",TSN,56.02,52.88B,-1.16%,19.94B,1.10,23.52,14.0,12.4,9.5
"Mid-America Apartment Communities, Inc.",MAA,138.8,2.16B,25.92%,16.22B,2.66,15.96,3.9,3.0,6.3
"Everest Group, Ltd.",EG,362.85,15.35B,18.80%,15.77B,1.16,--,1.4,6.7,9.9
"NRG Energy, Inc.",NRG,77.16,28.53B,5.76%,16.09B,6.08,6.73,16.8,9.5,5.7
EQT Corporation,EQT,36.32,4.42B,14.05%,16.04B,1.06,7.66,17.7,10.1,7.9
Marathon Oil Corporation,MRO,28.18,6.41B,22.37%,15.77B,1.41,4.81,,,
Packaging Corporation of America,PKG,177.57,7.81B,9.25%,15.95B,3.96,11.85,14.0,1.1,3.6
W. R. Berkley Corporation,WRB,78.64,12.5B,12.23%,20.11B,2.58,--,2.0,7.9,11.9
"Best Buy Co., Inc.",BBY,82.45,42.83B,2.90%,17.79B,5.77,7.96,2.4,9.1,4.4
"United Airlines Holdings, Inc.",UAL,47,54.83B,4.90%,15.45B,1.68,6.49,10.8,12.8,5.0
Las Vegas Sands Corp.,LVS,42.09,11.21B,13.99%,31.36B,7.93,9.44,2.3,7.7,8.7
"Warner Bros. Discovery, Inc.",WBD,7.21,40.58B,-7.45%,17.67B,0.40,2.64,,,
Zebra Technologies Corporation,ZBRA,310.51,4.35B,5.99%,15.97B,5.04,31.29,,,
FactSet Research Systems Inc.,FDS,423.41,2.18B,23.56%,16.11B,8.52,20.21,4.3,8.8,5.3
,,,,,,,,4.7,10.8,5.8
Bunge Global SA,BG,108.59,57.63B,3.22%,15.38B,1.46,5.13,14.4,13.3,5.3
"Expedia Group, Inc.",EXPE,123.61,13.06B,6.18%,16.37B,18.40,8.63,4.3,13.3,10.1
,,,,,,,,0.1,13.1,8.0
International Paper Company,IP,42.82,18.51B,0.93%,14.87B,1.80,9.20,15.1,4.5,4.8
Kellanova,K,56.38,12.98B,7.09%,19.28B,6.12,14.20,10.6,13.4,4.4
IDEX Corporation,IEX,194.69,3.23B,17.89%,14.74B,4.07,16.46,10.3,13.7,5.3
Masco Corporation,MAS,64.7,7.91B,11.60%,14.25B,--,12.74,9.7,5.6,6.8
Gen Digital Inc.,GEN,24.64,3.81B,16.16%,15.43B,7.02,14.41,3.3,8.2,5.4
Amcor plc,AMCR,9.5,13.78B,4.74%,13.73B,3.48,11.79,,,
Trimble Inc.,TRMB,55.89,3.84B,6.25%,13.65B,3.14,22.82,3.8,3.4,5.2
"Healthpeak Properties, Inc.",DOC,19.73,2.26B,8.56%,13.89B,1.56,18.92,,,
Insulet Corporation,PODD,196.9,1.78B,13.14%,13.79B,17.44,40.47,,,
Loews Corporation,L,73.76,16.35B,9.27%,16.33B,1.01,--,0.6,4.3,11.5
Snap-on Incorporated,SNA,255.35,5.11B,20.06%,13.46B,2.62,9.11,9.0,13.9,7.6
"Rollins, Inc.",ROL,50.4,3.16B,13.94%,24.41B,20.90,34.67,1.8,10.6,6.9
"Akamai Technologies, Inc.",AKAM,90.47,3.88B,16.12%,13.78B,2.97,12.57,3.0,7.1,6.9
,,,,,,,,,,
"Live Nation Entertainment, Inc.",LYV,95.34,23.42B,2.22%,22.07B,--,13.83,,,
"CF Industries Holdings, Inc.",CF,70.14,6.09B,19.03%,12.82B,2.36,5.12,16.2,7.7,5.4
KeyCorp,KEY,13.95,5.75B,15.21%,13.15B,1.09,--,1.6,9.2,10.7
"Enphase Energy, Inc.",ENPH,97.14,1.83B,15.10%,13.22B,14.32,31.45,,,
Celanese Corporation,CE,132.18,10.7B,18.60%,14.44B,2.04,9.87,14.7,5.9,5.6
Jabil Inc.,JBL,108.56,30.38B,4.63%,13.09B,5.75,6.44,,,
,,,,,,,,3.3,6.6,5.0
NiSource Inc.,NI,28.54,5.25B,14.23%,12.79B,1.62,11.07,12.0,9.2,4.9
Kimco Realty Corporation,KIM,19.28,1.84B,19.17%,13.00B,1.22,17.36,2.3,2.6,6.0
Alliant Energy Corporation,LNT,51.59,3.98B,17.53%,13.23B,1.94,12.52,8.5,6.6,6.3
,,,,,,,,,,
"Revvity, Inc.",RVTY,103.56,2.73B,5.49%,12.78B,1.63,20.98,0.8,10.1,5.8
WestRock Company,WRK,51.51,19.46B,1.57%,13.30B,1.32,8.93,,,
"UDR, Inc.",UDR,40.87,1.67B,27.34%,13.46B,3.47,14.21,3.7,3.9,6.3
"Host Hotels & Resorts, Inc.",HST,17.48,5.41B,13.33%,12.32B,1.83,9.64,3.3,4.6,5.5
Nordson Corporation,NDSN,226.61,2.65B,18.23%,12.98B,4.65,17.78,8.2,11.6,5.1
Pentair plc,PNR,74.39,4.09B,15.30%,12.35B,3.71,17.00,6.0,10.0,6.1
,,,,,,,,,,
"Stanley Black & Decker, Inc.",SWK,79.58,15.72B,-0.66%,12.25B,1.38,19.60,5.0,12.5,7.8
"Jack Henry & Associates, Inc.",JKHY,163.06,2.19B,17.28%,11.89B,6.68,17.13,4.3,8.7,5.7
Pool Corporation,POOL,299.78,5.46B,9.17%,11.49B,8.54,16.94,,,
"Lamb Weston Holdings, Inc.",LW,82.4,6.55B,16.71%,11.90B,6.77,11.82,,,
The AES Corporation,AES,17.71,12.51B,4.24%,12.59B,4.34,15.14,13.3,8.2,5.3
"Juniper Networks, Inc.",JNPR,36.72,5.34B,4.19%,11.93B,2.66,25.53,1.8,7.2,5.8
Camden Property Trust,CPT,107.72,1.55B,28.66%,11.48B,2.33,12.81,4.0,3.9,8.2
"Qorvo, Inc.",QRVO,118.75,3.77B,-1.87%,11.28B,3.17,26.40,12.3,8.5,7.7
Albemarle Corporation,ALB,98.35,8.4B,4.02%,11.56B,1.24,--,15.4,4.8,6.3
The J. M. Smucker Company,SJM,109.89,8.18B,9.10%,11.70B,1.52,11.93,12.9,12.0,5.6
Incyte Corporation,INCY,57.33,3.77B,19.78%,11.29B,2.09,6.76,1.1,16.3,7.4
Bio-Techne Corporation,TECH,71.44,1.15B,17.59%,11.26B,5.59,32.26,,,
Eastman Chemical Company,EMN,94.5,9.11B,10.16%,11.11B,2.01,8.65,12.8,5.8,6.6
"CarMax, Inc.",KMX,71.58,27.69B,1.46%,11.17B,1.81,18.77,0.1,8.0,4.0
LKQ Corporation,LKQ,41.45,14.22B,5.80%,11.06B,1.80,9.60,3.8,4.0,3.3
,,,,,,,,3.7,20.7,8.6
"The Interpublic Group of Companies, Inc.",IPG,28.34,9.41B,11.51%,10.70B,2.80,7.03,0.0,5.0,5.3
MGM Resorts International,MGM,43.04,16.63B,5.37%,13.50B,3.91,17.44,,,
APA Corporation,APA,28.6,8.08B,33.96%,10.62B,4.07,3.53,22.0,8.9,8.0
"EPAM Systems, Inc.",EPAM,184.14,4.65B,9.28%,10.68B,3.07,13.57,,,
News Corporation,NWSA,27.48,9.94B,2.09%,15.80B,1.94,14.59,0.0,4.7,6.7
"Charles River Laboratories International, Inc.",CRL,199.66,4.11B,10.81%,10.28B,2.83,12.92,,,
Regency Centers Corporation,REG,61.95,1.42B,26.63%,11.45B,1.68,18.00,3.7,3.2,4.8
Allegion plc,ALLE,114.95,3.62B,14.93%,10.05B,7.44,14.12,10.9,5.8,5.0
"F5, Inc.",FFIV,171.63,2.78B,17.91%,10.06B,3.43,12.40,4.1,7.6,5.4
"Catalent, Inc.",CTLT,56.73,4.14B,-28.44%,10.27B,2.84,--,,,
"C.H. Robinson Worldwide, Inc.",CHRW,86.49,17.4B,1.74%,10.13B,7.08,20.88,4.7,9.3,5.3
Teleflex Incorporated,TFX,214.06,3B,9.82%,10.08B,2.24,18.05,4.8,16.1,8.7
A. O. Smith Corporation,AOS,80.48,3.87B,14.94%,11.80B,6.27,13.82,7.2,11.9,6.4
"Huntington Ingalls Industries, Inc.",HII,243.07,11.59B,6.09%,9.59B,2.32,9.36,,,
"Tapestry, Inc.",TPR,40.14,6.7B,13.15%,9.22B,3.32,8.17,1.1,8.6,5.2
Molson Coors Beverage Company,TAP,49.98,11.95B,9.07%,10.62B,0.81,7.05,7.3,8.6,5.5
The Mosaic Company,MOS,27.18,12.77B,6.07%,8.74B,0.73,6.64,13.9,11.1,8.6
Campbell Soup Company,CPB,45.12,9.41B,7.85%,13.47B,3.44,12.82,10.9,8.1,4.5
Hormel Foods Corporation,HRL,30.29,12.05B,6.36%,16.61B,2.11,14.35,13.3,10.7,6.0
"Assurant, Inc.",AIZ,161.28,11.37B,6.73%,8.38B,1.70,--,1.6,10.8,11.7
"Bath & Body Works, Inc.",BBWI,36.99,7.42B,11.92%,8.26B,--,7.83,12.2,10.3,5.9
"BXP, Inc.",BXP,60.3,3.28B,5.85%,9.47B,1.62,14.30,2.5,4.5,5.4
"Henry Schein, Inc.",HSIC,64.96,12.45B,3.12%,8.32B,2.31,12.39,2.0,5.7,6.3
Pinnacle West Capital Corporation,PNW,75.85,4.7B,11.09%,8.61B,1.39,10.43,14.7,10.2,5.8
"Wynn Resorts, Limited",WYNN,86.83,6.97B,12.36%,9.73B,--,10.06,3.4,11.8,10.6
"Walgreens Boots Alliance, Inc.",WBA,11.26,145.53B,-3.99%,9.72B,0.71,--,1.8,9.3,5.2
Fox Corporation,FOXA,34.54,13.92B,11.19%,15.56B,1.53,6.75,,,
Generac Holdings Inc.,GNRC,140.5,4.02B,5.68%,8.52B,3.60,17.40,,,
"Caesars Entertainment, Inc.",CZR,37.18,11.44B,6.68%,8.03B,1.82,5.39,,,
"Match Group, Inc.",MTCH,29.42,3.44B,19.03%,7.82B,--,10.75,,,
Dayforce Inc,DAY,50.84,1.57B,3.30%,8.03B,3.30,31.10,,,
,,,,,,,,,,
DaVita Inc.,DVA,136.45,12.34B,6.61%,11.97B,12.92,9.43,0.1,14.1,8.4
Federal Realty Investment Trust,FRT,100.8,1.15B,20.66%,8.36B,3.03,17.41,2.3,4.3,5.8
,,,,,,,,2.7,4.2,5.7
"Hasbro, Inc.",HAS,56.59,4.76B,-29.60%,7.88B,7.83,--,0.0,2.9,4.2
Norwegian Cruise Line Holdings Ltd.,NCLH,17.48,8.92B,3.84%,7.50B,20.71,10.13,9.0,10.9,6.1
MarketAxess Holdings Inc.,MKTX,204.65,759.7M,33.83%,7.76B,5.88,17.93,,,
American Airlines Group Inc.,AAL,11.04,53.17B,0.94%,7.24B,--,13.96,9.9,11.6,4.8
FMC Corporation,FMC,55.12,4.06B,27.65%,6.88B,1.60,21.92,14.4,8.9,7.5
Solventum Corporation,SOLV,49.9,8.2B,15.73%,8.62B,2.24,7.81,,,
Globe Life Inc.,GL,81.48,5.54B,18.07%,7.52B,1.49,--,1.6,8.3,10.5
"Paycom Software, Inc.",PAYC,141.96,1.74B,26.91%,8.25B,5.74,10.84,,,
Ralph Lauren Corporation,RL,168.67,6.63B,9.75%,10.57B,4.31,10.93,1.2,7.8,5.6
"Etsy, Inc.",ETSY,58.45,2.75B,10.75%,6.83B,--,20.88,,,
Invesco Ltd.,IVZ,14.92,5.77B,-1.74%,6.71B,0.64,15.27,0.7,11.0,11.0
"Franklin Resources, Inc.",BEN,22.09,8.1B,11.09%,11.62B,0.90,10.60,1.1,9.9,7.3
"Mohawk Industries, Inc.",MHK,108.83,11.01B,-3.77%,6.95B,0.91,26.04,5.8,4.2,4.2
"Bio-Rad Laboratories, Inc.",BIO,276.94,2.61B,-12.37%,7.93B,0.87,--,1.2,9.2,7.0
Paramount Global,PARA,11.81,30.07B,-0.15%,8.22B,0.36,23.84,0.1,7.5,7.4
Fox Corporation,FOX,32.16,13.92B,11.19%,15.56B,1.42,6.75,,,
,,,,,,,,,,
