Brand,Avg Rating,Total Comment,Seller Rating,Front Camera,Camera Resolution,Battery Capacity,NFC,Screen Size,Screen Resolution,RAM Capacity,Wireless Charging
,,,,,,,,,,,
,,,,,,,,,,,
Tecno,4.7,83,"9,9",32 MP,108 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.7,694,"9,6",20 MP,50 MP +40 MP +12 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,12 GB RAM,Yok
Xiaomi,4.0,226,09,16 MP,200 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Xiaomi,4.6,8438,"9,3",16 MP,108 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,8 GB RAM,Yok
Alcatel,4.3,137,"9,4","0,3 MP","0,3 MP",0 - 1499 mAh,,"5,01 inç",,16 MB RAM,Yok
Samsung,4.9,14,10,13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,8 GB RAM,Yok
Apple,4.8,1628,10,12 MP,12 MP + 12 MP,3000 - 3499 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Realme,4.5,113,"9,5","8,0 MP",50 MP + 2 MP,4000 - 4999 mAh,,"6,74 inç",,4 GB,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Apple,4.8,175,10,12 MP,48 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Var
Samsung,4.7,4215,10,13 MP,48 MP + 8 MP + 5 MP,5000 mAh ve Üzeri,,"6,6 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Reeder,3.7,84,10,16 MP,64 MP + 5 MP +2 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
vivo,4.5,238,"9,4",5 MP,13 MP + 2 MP,5000 mAh ve Üzeri,,"6,51 inç",720 x 1600,4 GB RAM,Var
,,,,,,,,,,,
Reeder,3.5,21,10,24 MP,48 MP,5000 mAh ve Üzeri,Yok,"6,51 inç",,8 GB RAM,Yok
Nokia,2.7,103,"9,1","1,1 MP","1,3 MP",0 - 1499 mAh,,"4,3 inç",,16 MB RAM,Yok
,,,,,,,,,,,
Xiaomi,3.8,58,"9,5",5 MP,13 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
General Mobile,4.5,389,"9,6","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,52 inç",,3 GB RAM,Yok
Hiking,3.6,790,"9,8",Yok,"2,0 MP",0 - 1499 mAh,,"2,4 inç",,Yok,Yok
Xiaomi,3.0,31,"9,4",16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Reeder,4.3,719,10,10 MP,20 MP,5000 mAh ve Üzeri,,"6,0 inç",,4 GB,Yok
